window_size = 21, 11, 0, 0, 0, 0, 9, 8, 7, 8, 7, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 10, 11, 10, 0, 9, 12, 12, 12, 21, 11, 0, 9, 9, 9, 9, 8, 9, 9, 9, 0, 8, 8, 9, 0, 9, 9, 9, 9, 9, 9, 9, 12, 11, 12, 0, 9, 12, 9, 12, 12, 0, 12, 9, 9, 9, 9, 11, 0, 9, 9, 9, 0, 0, 9, 9, 9, 0, 11, 0, 10, 10, 8, 8, 9, 0, 8, 7, 9, 9, 12, 0, 9, 9, 0, 0, 0, 9, 8, 8, 7, 
window_size = 23, 7, 0, 6, 7, 7, 7, 7, 7, 7, 9, 0, 9, 0, 9, 0, 0, 7, 0, 6, 5, 0, 7, 5, 5, 5, 7, 7, 7, 0, 10, 10, 10, 8, 7, 8, 7, 7, 7, 6, 5, 7, 5, 7, 6, 10, 0, 0, 7, 0, 10, 6, 0, 7, 9, 7, 5, 6, 7, 0, 8, 8, 0, 7, 7, 7, 6, 6, 0, 7, 6, 5, 7, 0, 10, 7, 7, 9, 0, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7, 0, 7, 0, 0, 7, 6, 7, 6, 7, 7, 0, 
window_size = 25, 7, 5, 5, 5, 3, 0, 4, 5, 0, 5, 0, 0, 5, 4, 5, 4, 0, 4, 4, 5, 5, 7, 5, 0, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 8, 5, 6, 0, 5, 5, 5, 3, 4, 5, 0, 5, 5, 8, 5, 7, 5, 5, 5, 4, 4, 6, 5, 8, 5, 7, 5, 4, 0, 4, 5, 5, 0, 0, 5, 4, 5, 3, 5, 8, 5, 5, 0, 4, 5, 0, 6, 5, 0, 4, 4, 4, 4, 5, 5, 8, 4, 0, 5, 4, 5, 5, 5, 7, 5, 
window_size = 27, 0, 3, 3, 3, 3, 3, 1, 0, 2, 3, 3, 0, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 1, 0, 3, 3, 0, 0, 2, 0, 1, 3, 0, 4, 3, 1, 2, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 3, 1, 2, 3, 3, 3, 4, 0, 3, 2, 0, 1, 3, 3, 0, 4, 0, 2, 3, 1, 3, 3, 3, 3, 0, 2, 4, 2, 3, 3, 3, 5, 5, 0, 3, 3, 3, 2, 1, 3, 0, 2, 0, 0, 3, 0, 0, 3, 6, 0, 3, 0, 
window_size = 29, 3, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 3, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 4, 0, 1, 0, 0, 0, 1, 1, 1, 0, 3, 1, 2, 1, 1, 0, 0, 0, 1, 4, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 4, 1, 3, 3, 3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 3, 3, 0, 2, 0, 1, 1, 
window_size = 31, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
window_size = 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
window_size = 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
window_size = 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
window_size = 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
window_size = 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
window_size = 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
